model,cv_macro_f1_mean,cv_macro_f1_std,cv_balanced_accuracy_mean,holdout_accuracy,holdout_balanced_accuracy,holdout_macro_f1,holdout_weighted_f1,best_parameters
random_forest,0.6347304322116932,0.040821984110932436,0.6485522674377163,0.7032967032967034,0.6074328590517305,0.6133157547791694,0.6682690194885317,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3}"
decision_tree,0.6288717663416458,0.040370454533489954,0.6310459065877023,0.7032967032967034,0.6046723345520756,0.5751389687559901,0.641519588328099,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 3}"
logistic_regression,0.5609730622521034,0.056353306792766594,0.5604802945360221,0.6043956043956044,0.5389630412757147,0.5555555555555556,0.607059607059607,"{""model__C"": 0.1}"
