feature,importance_mean,importance_std
SystolicBP,0.12561859554172092,0.028659143780607306
BS,0.10116808198054546,0.025037575861518595
BodyTemp,0.051484038240615176,0.02644269523361559
DiastolicBP,0.004381238083213327,0.013101265280882814
HeartRate,-0.003013995060795286,0.01866672259780219
Age,-0.007263442210334418,0.011338528183409054
